iter	RMSE
0	181.8960047
1	178.6277811
2	174.7593401
3	171.1996833
4	167.3913864
5	163.8305053
6	160.2739565
7	156.810419
8	153.6680191
9	150.8350811
10	147.8248711
11	145.2761464
12	142.3285501
13	139.4057054
14	136.7267959
15	134.1791306
16	131.5946532
17	129.0442469
18	126.678816
19	124.3710684
20	122.0703559
21	120.0123819
22	117.8368989
23	115.7927247
24	114.0969094
25	112.1332078
26	110.4124378
27	108.6710719
28	107.1007045
29	105.3963449
30	103.8894363
31	102.2984285
32	100.7132711
33	99.31248614
34	98.05313154
35	96.80609454
36	95.47125031
37	94.32179375
38	93.16052219
39	92.11216956
40	91.25286695
41	90.24625018
42	89.3757662
43	88.49362263
44	87.57644795
45	86.65248822
46	85.8081759
47	84.95829399
48	84.16764913
49	83.39634494
50	82.65972791
51	81.9134938
52	81.33167558
53	80.70713846
54	80.09517757
55	79.42233977
56	78.82183486
57	78.26170434
58	77.67866438
59	77.12726473
60	76.64696933
61	76.13153566
62	75.70507878
63	75.24578871
64	74.77645948
65	74.3199519
66	73.86419564
67	73.52831355
68	73.12181455
69	72.81391786
70	72.41036079
71	72.08684633
72	71.73721871
73	71.45083575
74	71.18193211
75	70.92862278
76	70.6814211
77	70.3313438
78	70.15096998
79	69.92730497
80	69.70294382
81	69.44462354
82	69.19351023
83	68.949173
84	68.71501054
85	68.50384987
86	68.31468522
87	68.12264099
88	67.9359079
89	67.72009273
90	67.51146604
91	67.29328183
92	67.1216422
93	66.95065058
94	66.75814715
95	66.60769116
96	66.48204318
97	66.3615822
98	66.23229794
99	66.1131523
100	66.00181827
101	65.87465349
102	65.7647693
103	65.65462
104	65.55101511
105	65.43197857
106	65.32708498
107	65.22357272
108	65.14515125
109	65.02907244
110	64.91080211
111	64.78842637
112	64.66486675
113	64.56806907
114	64.44302006
115	64.30626525
116	64.17498441
117	64.11338594
118	64.05426807
119	63.98445192
120	63.89515253
121	63.82319507
122	63.73187455
123	63.6618154
124	63.62001067
125	63.52907569
126	63.45534299
127	63.35932924
128	63.27588333
129	63.20723822
130	63.1116837
131	63.03370961
132	62.98306982
133	62.90073072
134	62.84613395
135	62.76150479
136	62.70791596
137	62.6564885
138	62.55598027
139	62.47501177
140	62.38570575
141	62.32983394
142	62.2658708
143	62.19559486
144	62.15181849
145	62.10902213
146	62.06650967
147	62.02531665
148	61.98029608
149	61.88105706
150	61.85212471
151	61.75840186
152	61.69071367
153	61.63734512
154	61.59960169
155	61.5550945
156	61.50883541
157	61.43271338
158	61.37348092
159	61.31519329
160	61.2445124
161	61.17796986
162	61.13083648
163	61.07904785
164	61.02312578
165	60.95205594
166	60.93300411
167	60.88624833
168	60.83685563
169	60.79526611
170	60.74090326
171	60.72445326
172	60.64269946
173	60.60130168
174	60.53754815
175	60.49769324
176	60.46490006
177	60.42479433
178	60.39043556
179	60.36126259
180	60.31353346
181	60.26958301
182	60.23740124
183	60.19755581
184	60.17538746
185	60.12422712
186	60.08011081
187	60.02432402
188	59.98751046
189	59.96270613
190	59.88129678
191	59.85531356
192	59.83959744
193	59.80440788
194	59.75179519
195	59.72965582
196	59.67414105
197	59.63074733
198	59.59430437
199	59.56982538
200	59.50799998
201	59.4822031
202	59.4487554
203	59.36986195
204	59.3276681
205	59.29759332
206	59.26332231
207	59.22650465
208	59.16727895
209	59.11244797
210	59.08528766
211	59.04210216
212	59.00429988
213	58.98436769
214	58.9574382
215	58.92202668
216	58.86420965
217	58.85194246
218	58.83494028
219	58.81678963
220	58.74749845
221	58.69716466
222	58.66414219
223	58.62498801
224	58.57596027
225	58.54358824
226	58.46620668
227	58.42647737
228	58.36909558
229	58.33221549
230	58.29686372
231	58.24177147
232	58.20927027
233	58.17993256
234	58.129013
235	58.09315036
236	58.06048164
237	58.03123393
238	57.99409739
239	57.94506627
240	57.88034294
241	57.85250179
242	57.81191476
243	57.79014509
244	57.75739721
245	57.71965815
246	57.69252872
247	57.66810589
248	57.65458163
249	57.61779806
250	57.55785038
251	57.52140438
252	57.50200136
253	57.45549769
254	57.4314709
255	57.38378709
256	57.369721
257	57.31587443
258	57.27742345
259	57.26050385
260	57.24093285
261	57.2030091
262	57.1592959
263	57.1042184
264	57.047289
265	57.00941833
266	56.98064474
267	56.95177392
268	56.9125213
269	56.8850904
270	56.85666598
271	56.82385545
272	56.80290295
273	56.77726519
274	56.75652644
275	56.73889361
276	56.6938118
277	56.67762744
278	56.63360573
279	56.6040615
280	56.58899402
281	56.56117395
282	56.5120567
283	56.48290611
284	56.47155011
285	56.43193179
286	56.4033322
287	56.35213492
288	56.33320695
289	56.28327616
290	56.25303635
291	56.22215582
292	56.19408103
293	56.15486983
294	56.11331148
295	56.09811028
296	56.06789205
297	56.04931464
298	56.02986143
299	55.98505278
