iter	Passed	Remaining
0	240	71949
1	245	36607
2	250	24796
3	257	19023
4	261	15442
5	296	14543
6	304	12742
7	309	11281
8	313	10148
9	319	9262
10	325	8558
11	331	7956
12	343	7579
13	346	7076
14	351	6678
15	355	6311
16	358	5967
17	361	5665
18	367	5440
19	371	5200
20	374	4972
21	376	4760
22	379	4573
23	384	4422
24	387	4258
25	389	4108
26	393	3976
27	396	3850
28	400	3739
29	403	3630
30	406	3526
31	409	3430
32	415	3361
33	418	3273
34	421	3193
35	425	3117
36	429	3054
37	434	2994
38	437	2929
39	442	2876
40	446	2817
41	449	2760
42	452	2704
43	455	2652
44	460	2608
45	463	2558
46	466	2512
47	470	2468
48	473	2423
49	477	2386
50	480	2345
51	484	2310
52	489	2282
53	494	2252
54	501	2232
55	504	2196
56	507	2164
57	510	2130
58	514	2100
59	517	2068
60	520	2038
61	523	2009
62	526	1980
63	562	2072
64	566	2046
65	569	2019
66	573	1992
67	578	1974
68	583	1953
69	588	1935
70	592	1911
71	595	1886
72	598	1861
73	601	1838
74	606	1818
75	609	1795
76	612	1772
77	615	1750
78	618	1728
79	621	1710
80	624	1689
81	628	1672
82	631	1652
83	638	1642
84	643	1626
85	651	1620
86	662	1622
87	667	1608
88	670	1590
89	673	1572
90	676	1554
91	680	1538
92	683	1520
93	686	1503
94	689	1487
95	692	1470
96	695	1455
97	698	1440
98	701	1424
99	705	1410
100	708	1396
101	713	1384
102	717	1371
103	721	1359
104	725	1347
105	728	1333
106	731	1319
107	736	1308
108	739	1295
109	742	1281
110	745	1269
111	750	1259
112	753	1246
113	756	1234
114	759	1221
115	762	1209
116	765	1197
117	768	1185
118	772	1174
119	805	1207
120	808	1195
121	812	1185
122	815	1173
123	818	1161
124	821	1149
125	824	1138
126	827	1127
127	830	1115
128	833	1104
129	836	1094
130	840	1084
131	843	1073
132	847	1064
133	850	1053
134	853	1042
135	856	1032
136	858	1021
137	866	1017
138	870	1008
139	873	997
140	877	989
141	880	979
142	882	969
143	885	958
144	887	948
145	892	941
146	896	932
147	899	923
148	902	914
149	906	906
150	909	897
151	912	888
152	915	879
153	917	870
154	921	861
155	923	852
156	926	844
157	930	836
158	933	827
159	939	822
160	944	815
161	950	809
162	955	802
163	958	794
164	961	786
165	964	778
166	969	772
167	975	766
168	979	759
169	989	756
170	999	753
171	1005	748
172	1008	740
173	1011	732
174	1014	724
175	1017	717
176	1020	709
177	1024	702
178	1029	696
179	1034	689
180	1036	681
181	1039	674
182	1042	666
183	1045	659
184	1049	652
185	1052	645
186	1055	637
187	1057	630
188	1061	623
189	1077	624
190	1081	617
191	1084	610
192	1087	602
193	1090	595
194	1092	588
195	1095	581
196	1099	574
197	1102	567
198	1104	560
199	1107	553
200	1110	546
201	1113	540
202	1117	533
203	1120	527
204	1123	520
205	1127	514
206	1130	508
207	1133	501
208	1137	495
209	1141	489
210	1146	483
211	1150	477
212	1153	471
213	1162	467
214	1165	460
215	1169	454
216	1172	448
217	1176	442
218	1179	436
219	1182	429
220	1185	423
221	1208	424
222	1211	418
223	1215	412
224	1218	406
225	1221	399
226	1224	393
227	1228	388
228	1231	381
229	1234	375
230	1237	369
231	1239	363
232	1245	358
233	1249	352
234	1255	347
235	1263	342
236	1267	336
237	1270	330
238	1274	325
239	1277	319
240	1280	313
241	1283	307
242	1285	301
243	1290	296
244	1293	290
245	1296	284
246	1299	278
247	1302	273
248	1305	267
249	1308	261
250	1311	256
251	1314	250
252	1318	244
253	1321	239
254	1324	233
255	1327	228
256	1331	222
257	1334	217
258	1337	211
259	1340	206
260	1343	200
261	1346	195
262	1350	189
263	1353	184
264	1357	179
265	1359	173
266	1362	168
267	1366	163
268	1370	157
269	1372	152
270	1375	147
271	1379	141
272	1384	136
273	1388	131
274	1392	126
275	1400	121
276	1417	117
277	1425	112
278	1430	107
279	1436	102
280	1440	97
281	1445	92
282	1451	87
283	1456	82
284	1464	77
285	1469	71
286	1474	66
287	1479	61
288	1484	56
289	1489	51
290	1497	46
291	1502	41
292	1508	36
293	1516	30
294	1522	25
295	1537	20
296	1542	15
297	1547	10
298	1552	5
299	1556	0
